P-0312	 | -->	เชื้อปะทุ แบบ SURFACE DELAY	 | -->	13	 = 	ดอก
P-0313	 | -->	เชื้อปะทุ แบบ DOWN LINE	 | -->	13	 = 	ดอก
P-0314	 | -->	เชื้อปะทุ A - SHOK MS	 | -->	13	 = 	ดอก
P-0315	 | -->	เชื้อปะทุ A - SHOK STLD	 | -->	13	 = 	ดอก
P-0316	 | -->	เชื้อปะทุ A - SHOK DTH	 | -->	13	 = 	ดอก
P-0317	 | -->	"เชื้อปะทุ A - SHOK Twin	"	 | -->	13	 = 	ดอก
P-0318	 | -->	เชื้อปะทุ ชนิดธรรมดา IED	 | -->	13	 = 	ดอก
P-0319	 | -->	เชื้อปะทุ ชนิดถ่วงเวลา MSD	 | -->	13	 = 	ดอก
P-0384	 | -->	ปลอกกระสุนปืนใหญ่ 105 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0332	 | -->	ปลอกกระสุนปืนใหญ่ 20 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0333	 | -->	ปลอกกระสุนปืนใหญ่ 23 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0334	 | -->	ปลอกกระสุนปืนใหญ่ 30 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0335	 | -->	ปลอกกระสุนปืนใหญ่ 37 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0336	 | -->	ปลอกกระสุนปืนใหญ่ 40 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0337	 | -->	ปลอกกระสุนปืนใหญ่ 75 มิลลิเมตร (ซ้อม)	 | -->	9	 = 	ปลอก
P-0368	 | -->	Magazinge อาวุธปืนพกกล็อก รุ่น 17 ขนาด 9 มิลลิเมตร	 | -->	1	 = 	อัน
P-0369	 | -->	"ชิ้นส่วนอาวุธปืนกล็อก รุ่น 19 (ออโตเมติก) (4อัน/ชุด)
ประกอบด้วย
1. Slide assembled  
2. Barrel
3. Frame assembled
4. Magazine"	 | -->	4	 = 	ชุด
P-0370	 | -->	Magazinge อาวุธปืนพกกล็อก รุ่น 19 ขนาด 9 มิลลิเมตร	 | -->	1	 = 	อัน
P-0371	 | -->	"ชิ้นส่วนอาวุธปืนกล็อก รุ่น 26 (ออโตเมติก) (4อัน/ชุด)
ประกอบด้วย
1. Slide assembled  
2. Barrel
3. Frame assembled
4. Magazine"	 | -->	4	 = 	ชุด
P-0372	 | -->	Magazinge อาวุธปืนพกกล็อก รุ่น 26 (ออโตเมติก)	 | -->	1	 = 	อัน
P-0375	 | -->	ปลอกกระสุนปืน .32 นิ้ว	 | -->	9	 = 	ปลอก
P-0376	 | -->	ซองบรรจุกระสุน ขนาด 19	 | -->	1	 = 	อัน
P-0377	 | -->	ซองบรรจุกระสุน ขนาด 17	 | -->	1	 = 	อัน
P-0367	 | -->	"ชิ้นส่วนอาวุธปืนกล็อก รุ่น 17 (ออโตเมติก) (4อัน/ชุด)
ประกอบด้วย
1. Slide assembled  
2. Barrel
3. Frame assembled
4. Magazine"	 | -->	4	 = 	ชุด
P-0387	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย .22 นิ้ว	 | -->	9	 = 	ปลอก
P-0389	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย .25 นิ้ว	 | -->	9	 = 	ปลอก
P-0391	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย .32 นิ้ว	 | -->	9	 = 	ปลอก
P-0393	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย .38 นิ้ว	 | -->	9	 = 	ปลอก
P-0395	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย .40 นิ้ว	 | -->	9	 = 	ปลอก
P-0397	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย .44 นิ้ว	 | -->	9	 = 	ปลอก
P-0399	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย .45 นิ้ว	 | -->	9	 = 	ปลอก
P-0401	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย .357 นิ้ว	 | -->	9	 = 	ปลอก
P-0403	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย .380 นิ้ว	 | -->	9	 = 	ปลอก
P-0405	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย 9 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0407	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย 5.56 มิลลิเมตร (.223 นิ้ว)	 | -->	9	 = 	ปลอก
P-0408	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย 5.56 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0409	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย 6.35 มิลลิเมตร (.25 นิ้ว)	 | -->	9	 = 	ปลอก
P-0411	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย 7.62 มิลลิเมตร (.308 นิ้ว)	 | -->	9	 = 	ปลอก
